,금융회사,상품명,적립방식,세전이자율,세후이자율,세후이자(예시),최고우대금리,실질이자율,이자계산방식,기간,비교 공시일,담당부서 및 연락처,우대조건,가입대상.1,가입방법,만기후 이자율,기타유의사항,등급,cluster_num,우대사항정리,급여이체,마케팅동의,자동이체,카드실적,최초거래,주택청약,비대면,영업점,해당은행,이체횟수,만기,변동금리,이벤트,기타,나이,환경,신혼,반려인,직장인,여행
1176,키움저축은행,회전식정기예금 (6개월단위 변동금리상품) (분당지점 창구전용),,4.00%,3.38%,"703,389",4.00%,,복리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",분당지점방문고객(타지점불가),영업점,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
1177,키움저축은행,SB톡톡 회전식정기예금 (비대면) (6개월단위 변동금리상품),,4.00%,3.38%,"676,800",4.00%,,단리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
1178,키움저축은행,SB톡톡 회전식정기예금 (비대면) (6개월단위 변동금리상품),,4.00%,3.38%,"703,389",4.00%,,복리,24개월,2023-08-30,경영지원팀 1670-0077 예적금문의 1670-0077,"*회전시점 고시된 6개월 정기예금금리로 자동연장되는 변동금리상품(6개월단위 확정금리). 중도해지시 충족한 회전기간은 약정이율, 미충족기간에 대해서만 중도해지 이율 적용.",제한없음,온라인,"-만기후 1개월 이내
최종회전금리 또는 만기시 동일상품 신규금리 중 낮은 이율
-만기후 1개월 초과
연 0.2% (신규시점의 보통예금 금리)","*계약기간
36개월
(회전주기
6개월)",3,11,우대사항없음,,,,,,,,,,,,,,,,,,,,
1179,광주은행,미즈월복리정기예금,,3.96%,3.35%,"696,086",4.16%,,복리,24개월,2023-11-14,영업추진부 수신지원팀 062-239-5206 여신지원팀 062-239-6509 카드사업부 062-239-6107 *실제 상담은 인근영업점이나 당행 콜센터(1588-3388)로 문의,"▶ 최고우대금리 0.2% ① 요구불평잔 : 0.2% -300만원이상 0.1%, 500만원이상 0.2% ② 신용(체크)카드결제실적 : 0.1% -전월결제금 300만원이상 0.05%, 500만원이상 0.1%",만18세이상 여성으로 실명의 개인 및 개인사업자,,"*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%","1. 가입기간 : 1년이상 3년제
2. 가입금액 : 5백만원이상 최고 50백만원",1,7,"* 카드실적 : 0.1% [ 요구불평잔 300만원 이상시, 500만원이상시 0.1% 가산 가능, 신용(체크)카드결제실적으로 대체 가능]",,,,0.1%,,,,,,,,,,,,,,,,
1180,다올저축은행,Fi 정기예금 (비대면),,3.95%,3.34%,"694,261",3.95%,,복리,24개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 중도해지이율 (경과기간별 차등 적용)
- 1개월미만 : 가입일의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 
12개월미만 : 약정이율X60%, 12개월이상 : 약정이율X70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1181,다올저축은행,Fi 정기예금 (비대면),,3.95%,3.34%,"668,340",3.95%,,단리,24개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 중도해지이율 (경과기간별 차등 적용)
- 1개월미만 : 가입일의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 
12개월미만 : 약정이율X60%, 12개월이상 : 약정이율X70%",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1182,진주저축은행,"정기예금(부산,울산,창원)",,3.94%,3.33%,"666,640",3.94%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
1183,진주저축은행,"정기예금(부산,울산,창원)",,3.94%,3.33%,"692,436",3.94%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
1184,진주저축은행,지니뱅크-정기예금(비대면),,3.94%,3.33%,"692,436",3.94%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1185,진주저축은행,지니뱅크-정기예금(비대면),,3.94%,3.33%,"666,640",3.94%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
1186,진주저축은행,E-정기예금(비대면),,3.94%,3.33%,"666,640",3.94%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
1187,진주저축은행,E-정기예금(비대면),,3.94%,3.33%,"692,436",3.94%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1188,진주저축은행,M-정기예금(비대면),,3.94%,3.33%,"692,436",3.94%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1189,진주저축은행,M-정기예금(비대면),,3.94%,3.33%,"666,640",3.94%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,온라인,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
1190,아산저축은행,정기예금,,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1191,아산저축은행,정기예금,,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-10,영업부0415379000,없음,제한없음,영업점,"1개월 내 : 가입시점, 만기시점 낮은 단리이율적용, 이후 보통예금 금리 적용",없음,3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1192,오투저축은행,비대면 정기예금,,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1193,오투저축은행,비대면 정기예금,,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1194,오투저축은행,정기예금,,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1195,오투저축은행,정기예금,,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,영업점,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율

[코로나19관련대책 - 창구가입상품한 : 한시적으로 만기후 1개월간 해당 예금의 동일계약기간 신규약정금리 적용, 이후 보통예금이율]","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1196,오투저축은행,E-정기예금,,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1197,오투저축은행,E-정기예금,,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-06,수신팀 (042-712-0260),-,제한없음,온라인,"1. 2019년 7월 1일 이전 신규
-보통예금 이율

2. 2019년 7월 1일 신규분 부터
-1개월이내: 신규시점 약정이율과 만기시점 약정이율 중 낮은 이율
-1개월 초과: 보통예금 이율","중도해지이율
-1개월 미만: 보통예금이율
-1개월 이상~3개월 미만: 계약일의 계약기간별 약정이율의 50%
-3개월 이상~12개월 미만: 계약일의 계약기간별 약정이율의 60%
-12개월 이상: 계약일의 계약기간별 약정이율의 70%",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1198,조은저축은행,정기예금(서울본점),,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1199,조은저축은행,정기예금(서울본점),,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-02,"(재무팀,0222600758)",없음,제한없음,영업점,"- 1개월이내 해지: 만기시 동일상품 동일계약기간의 신규약정금리
'- 1개월초과 이후 해지: 보통예금 이율",없음,4,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1200,하나저축은행,비대면 세바퀴정기예금(1년단위 변동금리상품),,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,-,제한없음,온라인,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1201,하나저축은행,비대면 세바퀴정기예금(1년단위 변동금리상품),,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,-,제한없음,온라인,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1202,CK저축은행,정기예금(춘천본점),,3.90%,3.30%,"685,141",3.90%,,복리,24개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1203,CK저축은행,정기예금(춘천본점),,3.90%,3.30%,"659,880",3.90%,,단리,24개월,2023-11-07,"영업부,0332528411",없음,제한없음,영업점,- 만기 후 1개월 이내 : 약정금리 - 만기 후 1개월 초과 : 연 0.1%,없음,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1204,광주은행,스마트모아Dream정기예금,,3.86%,3.27%,"653,120",4.06%,,단리,24개월,2023-11-14,영업추진부 수신지원팀 062-239-5206 여신지원팀 062-239-6509 카드사업부 062-239-6107 *실제 상담은 인근영업점이나 당행 콜센터(1588-3388)로 문의,▶ 1천만원 이상 가입시 최대 0.2%우대,개인 및 개인사업자,온라인,"*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 일반정기예금 고시금리의 1/2 
*만기후 1개월 초과: 0.01%","1. 가입기간 : 1개월이상 3년제
2. 최소가입금액 : 100만원이상",1,7,* 기타 : 0.2% [ 1천만원 이상 가입시 ],,,,,,,,,,,,,,0.2%,,,,,,
1205,다올저축은행,Fi 정기예금 (대면),,3.85%,3.26%,"676,030",3.85%,,복리,24개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 중도해지이율 (경과기간별 차등 적용)
- 1개월미만 : 가입일의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 
12개월미만 : 약정이율X60%, 12개월이상 : 약정이율X70%",3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1206,다올저축은행,Fi 정기예금 (대면),,3.85%,3.26%,"651,420",3.85%,,단리,24개월,2023-11-13,(고객문의) 1544-6700 (공시담당) 기획팀,없음,제한없음,온라인,"- 1개월 까지 : 당초 약정이율과 만기시점 고시이율을 비교하여 낮은 금리 적용
- 1개월 초과 : 연0.1%","* 중도해지이율 (경과기간별 차등 적용)
- 1개월미만 : 가입일의 보통예금 금리, 6개월미만 : 약정이율X50%, 9개월미만 : 약정이율X55%, 
12개월미만 : 약정이율X60%, 12개월이상 : 약정이율X70%",3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1207,진주저축은행,정기예금(진주),,3.85%,3.26%,"651,420",3.85%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
1208,진주저축은행,정기예금(진주),,3.85%,3.26%,"676,030",3.85%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
1209,진주저축은행,정기예금(통영),,3.85%,3.26%,"651,420",3.85%,,단리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,9,우대사항없음,,,,,,,,,,,,,,,,,,,,
1210,진주저축은행,정기예금(통영),,3.85%,3.26%,"676,030",3.85%,,복리,24개월,2023-10-23,"영업지원부, 0518051450",없음,비거주 외국인 외 제한없음,영업점,"ㆍ만기일~1개월 까지 : 최초 약정이율과 만기 후 동일상품 신규가입이율 중 낮은 이율

ㆍ1개월 초과 
: 연 0.1%","-만65세 이상 비과세 종합저축 5,000만원 가능",5,3,우대사항없음,,,,,,,,,,,,,,,,,,,,
1211,대한저축은행,정기예금,,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,영업점,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1212,대한저축은행,정기예금,,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,영업점,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1213,대한저축은행,정기예금(인터넷뱅킹),,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,온라인,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1214,대한저축은행,정기예금(인터넷뱅킹),,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-11-07,"영업1본부, 062-520-5935",없음,제한없음,온라인,"- 만기후 1개월이내 : 가입당시 약정금리와 현재금리 비교 후 낮은 금리

- 만기후 1개월초과 : 보통예금 금리",해당없음,3,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1215,동양저축은행,정기예금,,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,5,우대사항없음,,,,,,,,,,,,,,,,,,,,
1216,동양저축은행,정기예금,,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,영업점,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",없음,5,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
1217,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,2,우대사항없음,,,,,,,,,,,,,,,,,,,,
1218,동양저축은행,"정기예금(비대면, 인터넷뱅킹, 스마트폰뱅킹)",,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-10-22,"(기업금융팀 ,062-720-0866)",없음,제한없음,온라인,"1개월내:가입 당시 이율과 만기시점 해당 계약기간 이율과 비교하여 낮은 금리 적용
1개월후:보통예금 금리와 동일",본 상품은 한도금액 초과 시 조기에 소진될 수 있습니다.,5,4,우대사항없음,,,,,,,,,,,,,,,,,,,,
1219,안양저축은행,비대면-정기예금,,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",없음,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객",온라인,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,0,우대사항없음,,,,,,,,,,,,,,,,,,,,
1220,안양저축은행,비대면-정기예금,,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",없음,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객",온라인,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,10,우대사항없음,,,,,,,,,,,,,,,,,,,,
1221,안양저축은행,정기예금,,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",①가입기간 12개월 이상이면서 계약금액 10억이상(개인/법인/단체/가족합산),제한없음,모두가능,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
1222,안양저축은행,정기예금,,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-11-01,"영업지원팀, 031-463-7882 (예금문의 031-441-4141)",①가입기간 12개월 이상이면서 계약금액 10억이상(개인/법인/단체/가족합산),제한없음,모두가능,"만기 후 한 달까지 약정금리-현행금리 비교하여 낮은 금리 적용, 이후 0.1%","중도해지이율:
1개월미만: 계약일의 보통예금 금리, 
1개월이상 6개월미만: 약정이율의 50%, 
6개월이상 12개월미만: 약정이율의 60%, 12개월이상: 약정이율의 70%",3,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
1223,하나저축은행,세바퀴정기예금(1년단위 변동금리상품),,3.80%,3.21%,"666,927",3.80%,,복리,24개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,"세바퀴 정기예금 가입시 0.1% 인터넷뱅킹,모바일APP,모바일WEB(하나디지털뱅크, 하나원큐연계)으로 가입시 0.1%",제한없음,모두가능,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
1224,하나저축은행,세바퀴정기예금(1년단위 변동금리상품),,3.80%,3.21%,"642,960",3.80%,,단리,24개월,2023-11-02,(예적금)수신기획팀 0222302562 (개인대출)리테일금융부 0222302817,"세바퀴 정기예금 가입시 0.1% 인터넷뱅킹,모바일APP,모바일WEB(하나디지털뱅크, 하나원큐연계)으로 가입시 0.1%",제한없음,모두가능,"-1개월 이내 : 약정금리와 현행 고시금리 중 낮은 금리
-1개월 초과 : 현행 고시 보통예금 금리","1. 회전주기 (매1년)마다 계약기간 이내에서 이자율 변동 및 이자를 지급하는 장기 정기예금(12개월 변동금리)

2. 최저가입금액 : 10만원이상

3. 중도해지금리
-1개월미만 : 보통예금 금리 
-1개월이상 : 약정금리 * (경과월수 / 계약월수)*차등율
(최저금리 : 약정금리 * 50%)

-1개월이상~12개월미만(차등율:60%)",3,8,우대사항없음,,,,,,,,,,,,,,,,,,,,
1225,유안타저축은행,정기예금,,3.75%,3.17%,"634,500",3.75%,,단리,24개월,2023-10-25,"경영지원팀, 02-6022-3745",없음,제한없음,영업점,"만기후 1개월이하:
약정금리와 현행금리 중 낮은 금리
만기후 1개월초과:
현행 보통예금금리",없음,2,6,우대사항없음,,,,,,,,,,,,,,,,,,,,
